"player_id","sc_id","player_name","team_abbrev","jersey","pos1","pos2","avg","age","games","P1_SC","P1_TOG","P1_P85","P2_SC","P2_TOG","P2_P85","injury","P_AVG"
1001396,379,"Isaac Cumming","GWS","13","DEF",,56.4,21,"7",86,70,104,111,61,155,,129.5
1002251,380,"Brent Daniels","GWS","16","FWD",,63.95,20,"29",51,75,58,66,71,79,,68.5
280804,381,"Phil Davis","GWS","1","DEF",,79.47,29,"161",74,80,79,,,,,79
271015,382,"Matt de Boer","GWS","24","MID",,75.13,29,"182",107,82,111,61,80,65,,88
298111,383,"Jeremy Finlayson","GWS","31","FWD",,82.21,23,"34",62,77,68,49,72,58,,63
993902,384,"Matthew Flynn","GWS","30","RUC",,0,22,"0",,,,,,,,
1009528,385,"Tom Green","GWS","12","MID",,0,18,"",106,73,123,72,74,83,,103
295344,386,"Toby Greene","GWS","4","FWD",,93.94,26,"141",,,,127,84,129,,129
999309,387,"Jackson Hately","GWS","9","MID",,61.71,19,"7",129,76,144,92,72,109,,126.5
295265,388,"Nick Haynes","GWS","19","DEF",,87.42,27,"123",,,,108,82,112,,112
1006148,389,"Ian Hill","GWS","37","FWD",,56.43,19,"7",54,65,71,,,,,71
993107,390,"Harry Himmelberg","GWS","27","FWD",,76.19,23,"61",83,73,97,40,41,83,,90
993903,391,"Jacob Hopper","GWS","2","MID",,95.79,22,"62",116,76,130,63,74,72,,101
296984,392,"Tom Hutchesson","GWS","20","MID","FWD",0,24,"",,,,,,,,
1008083,393,"Connor Idun","GWS","39","DEF",,33,19,"1",,,,,,,,
270811,394,"Sam Jacobs","GWS","10","RUC",,80.2,31,"201",66,70,80,111,83,114,,97
290314,395,"Lachlan Keeffe","GWS","25","DEF","FWD",50.22,29,"57",,,,,,,,
296347,396,"Josh Kelly","GWS","22","MID",,117.43,24,"113",,,,100,83,102,,102
291509,397,"Adam Kennedy","GWS","40","DEF",,65.11,27,"111",98,81,103,70,76,78,,90.5
1004286,398,"Zac Langdon","GWS","17","FWD",,44.67,24,"24",109,73,127,53,74,61,,94
290675,399,"Daniel Lloyd","GWS","38","FWD",,60.5,27,"35",66,88,64,74,71,89,,76.5
280762,400,"Shane Mumford","GWS","41","RUC",,81.63,33,"186",,,,,,,,
1006135,401,"Xavier O'Halloran","GWS","33","MID",,0,19,"",25,62,34,,,,,34
998205,402,"Harry Perryman","GWS","36","MID",,75.6,21,"32",81,56,123,82,76,92,,107.5
261374,403,"Sam J. Reid","GWS","50","DEF",,69.18,30,"86",97,77,107,,,,,107
1008123,404,"Jake Riccardi","GWS","26","FWD",,0,20,"",,,,,,,,
240700,405,"Heath Shaw","GWS","23","DEF",,82.64,34,"302",101,90,95,77,79,83,,89
291792,406,"Tommy Sheridan","GWS","11","MID",,2,26,"81",,,,,,,"Calf: 3-4 weeks (2020-03-10)",
1002296,407,"Nick Shipley","GWS","34","MID",,0,20,"2",35,40,74,,,,,74
998225,408,"Zach Sproule","GWS","28","FWD",,26,21,"1",,,,,,,,
1007238,409,"Jake Stein","GWS","42","DEF",,53.2,25,"5",,,,,,,,
998172,410,"Tim Taranto","GWS","14","MID",,102.36,21,"59",13,8,138,,,,"Shoulder: 4-5 months (2020-03-10)",138
1005247,411,"Sam Taylor","GWS","15","DEF",,58.22,20,"26",87,78,95,57,76,64,,79.5
280109,412,"Callan Ward","GWS","8","MID",,4,29,"216",,,,,,,"Knee: 4-6 weeks (2020-03-10)",
294305,413,"Lachie Whitfield","GWS","6","FWD","MID",111.25,25,"129",,,,110,84,111,,111
294685,414,"Zac Williams","GWS","29","DEF",,101.6,25,"97",,,,,,,,
280744,415,"Luke Breust","HAW","22","FWD",,77,29,"206",63,82,65,93,83,95,,80
210012,416,"Shaun Burgoyne","HAW","9","DEF",,76.83,37,"375",,,,48,80,51,,51
291327,417,"Jonathon Ceglar","HAW","18","RUC","FWD",76.8,28,"76",80,66,103,101,71,121,,112
1000959,418,"James Cousins","HAW","46","MID",,69.33,21,"19",50,39,109,14,29,41,,75
1008550,419,"Will Day","HAW","30","DEF",,0,18,"",,,,,,,,
